Year ,Month ,New,Used,Total Sales New,Total Sales Used
2002,JAN,31106,49927,755015820,386481929
2002,FEB,27520,50982,664454223,361353242
2002,MAR,34225,58794,805666244,419385387
2002,APR,36452,59817,846368297,433061150
2002,MAY,37359,60577,855005784,442569410
2002,JUN,36348,55415,830251613,414731166
2002,JUL,30367,55235,700530891,384673023
2002,AUG,38965,60310,934484212,455453720
2002,SEP,39740,55485,950502055,432112270
2002,OCT,35276,58020,865326154,456738532
2002,NOV,27812,49066,691740703,379196575
2002,DEC,26994,42461,673208880,374453368
2003,JAN,34707,49481,860730784,392438833
2003,FEB,24585,41048,615749948,323297077
2003,MAR,32705,56513,791728069,413899574
2003,APR,37682,61856,909778220,458127973
2003,MAY,38472,61742,917339608,469734647
2003,JUN,38573,59904,941898387,455117890
2003,JUL,41088,62811,990041754,489374362
2003,AUG,39556,60829,985375378,460316726
2003,SEP,40464,58279,1012404987,446119525
2003,OCT,38597,62417,980365678,470520906
2003,NOV,30155,50655,779674957,385164663
2003,DEC,31668,49823,838060569,401959321
2004,JAN,33361,46427,891062280,367825717
2004,FEB,27780,50842,721703209,377496734
2004,MAR,39340,68766,975737236,502144505
2004,APR,37478,64059,919596999,472014215
2004,MAY,37819,58589,916954404,431929913
2004,JUN,42758,65073,1038212129,486125865
2004,JUL,38329,60994,958264422,474975823
2004,AUG,37175,61106,950681015,470372767
2004,SEP,38712,60238,1004251102,478484210
2004,OCT,34839,57046,913403542,452470718
2004,NOV,29859,54654,821585825,439882689
2004,DEC,31058,51883,861503861,431825791
2005,JAN,33637,49534,933312807,407244081
2005,FEB,26707,51666,705851980,395540384
2005,MAR,35277,65088,920888098,504245180
2005,APR,36609,61977,925591302,469034149
2005,MAY,36191,60765,904011185,471821748
2005,JUN,40674,64021,1029116197,513909527
2005,JUL,38189,58605,1012715139,480607370
2005,AUG,45547,69589,1207716905,557209927
2005,SEP,38909,62941,1001701319,502113995
2005,OCT,31392,57367,804224324,472018026
2005,NOV,28915,53053,763610056,438437059
2005,DEC,29787,49229,797994610,427622069
2006,JAN,32331,50745,889192843,436119403
2006,FEB,25688,51372,690139661,410661975
2006,MAR,34167,66205,900277823,524850834
2006,APR,34099,58148,870626654,485131848
2006,MAY,36904,63707,917436807,524859557
2006,JUN,38718,63039,962049369,530723293
2006,JUL,36662,56611,928819275,481673874
2006,AUG,37151,66516,964524846,566181664
2006,SEP,35334,57684,914277304,496348705
2006,OCT,33211,60068,873442790,517877328
2006,NOV,28138,52776,767687998,461552850
2006,DEC,26879,50097,733181836,429705987
2007,JAN,31430,53277,886162633,462733911
2007,FEB,24793,48360,668148095,407096172
2007,MAR,32862,61513,872431678,514312592
2007,APR,33705,59128,865042222,500935964
2007,MAY,34931,62944,887475431,526560827
2007,JUN,37333,61175,948250315,519442504
2007,JUL,33259,60991,851325779,521144458
2007,AUG,35186,63410,929649250,541115210
2007,SEP,30248,52541,806385930,443757477
2007,OCT,32965,59348,885708713,516190017
2007,NOV,27160,50593,735515910,445062491
2007,DEC,24312,45269,661821527,395862246
2008,JAN,29072,47857,799819205,430842103
2008,FEB,22819,50937,611004312,409316017
2008,MAR,27118,55978,704894267,449993794
2008,APR,30769,58468,778075721,478875678
2008,MAY,29035,55339,709096913,437787528
2008,JUN,31463,54449,747520852,426137636
2008,JUL,29188,57055,732481463,444897621
2008,AUG,25666,53455,663384108,411849673
2008,SEP,26751,51206,697999898,398834140
2008,OCT,23216,50727,614717936,382437406
2008,NOV,16842,39803,447337415,295521964
2008,DEC,17220,42611,469069897,329674280
2009,JAN,17963,41254,504208132,320520578
2009,FEB,14779,48308,418843100,332054088
2009,MAR,17844,56948,465300148,390527459
2009,APR,20905,55631,526701218,390447902
2009,MAY,19781,51149,501252689,366133295
2009,JUN,24509,56732,627433850,411152753
2009,JUL,22836,57693,602063511,431644869
2009,AUG,25251,52432,651209293,388684275
2009,SEP,26992,53361,719767451,412237339
2009,OCT,20717,50783,593186195,383952423
2009,NOV,18590,42895,527527906,328315049
2009,DEC,18761,41703,548724421,354370497
2010,JAN,20419,40588,582084918,316999705
2010,FEB,14809,38932,405189138,296703782
2010,MAR,21920,62510,604302888,457388434
2010,APR,25844,61229,688229510,479848337
2010,MAY,24383,52548,640624378,426753739
2010,JUN,25850,60192,686655808,481352489
2010,JUL,23136,54934,644471700,457619574
2010,AUG,23512,57005,659524567,460747955
2010,SEP,24520,54371,692681798,452201494
2010,OCT,22003,50911,629304220,423489578
2010,NOV,20551,48275,601640805,403191833
2010,DEC,21075,44550,626205792,398505383
2011,JAN,22239,43292,649505622,374185956
2011,FEB,18863,48464,541928549,375638939
2011,MAR,27667,65857,760075360,513965808
2011,APR,25793,57373,713850012,465992034
2011,MAY,25464,54135,698611340,440018761
2011,JUN,26984,59203,754568121,499370349
